Rywal,Mecze,Wyniki z rywalem,Wygrane,Remisy,Porażki,Bilans bramkowy,Punkty,Punkty na mecz
Lech Poznań,16,2x 1-2 | 2x 1-1 | 2x 2-3 | 2x 0-0 | 0-1 | 2-0 | 0-2 | 2x 1-0 | 4-1 | 0-3 | 0-4,4,4,8,,16,"1,00"
ŁKS Łomża,4,2x 1-1 | 2x 2-0,2,2,0,,8,"2,00"
Kmita Zabierzów,6,2x 0-0 | 0-3 | 1-1 | 3-2 | 3-0 (wo),2,3,1,,9,"1,50"
Tur Turek,4,0-0 | 2-0 | 1-2 | 9-0,2,1,1,,7,"1,75"
Sandecja II Nowy Sącz,1,0-0 pd. k. 3-2,0,1,0,,1,"1,00"
Motor Lublin,9,2x 0-1 | 3-0 | 3x 0-0 | 1-1 | 2x 1-2,1,4,4,,7,"0,78"
Warta Poznań,17,3x 2-0 | 2-1 | 1-0 | 3x 1-2 | 1-4 | 3-0 | 1-1 | 0-1 | 4-1 | 3-4 | 0-2 | 2-3,7,1,7,,22,"1,47"
Znicz Pruszków,10,2x 0-0 | 4x 1-0 | 1-2 | 2x 1-1 | 2-0,5,4,1,,19,"1,90"
Stal Sanok,1,2-2 pd. k. 5-4,0,1,0,,1,"1,00"
Dolcan Ząbki,6,1-0 | 3-1 | 4-0 | 3-0 | 2-0 | 0-2,5,0,1,,15,"2,50"
Sandecja Nowy Sącz,16,2x 1-1 | 1-2 | 2x 1-0 | 2x 2-0 | 2x 0-0 | 2-1 | 0-2 | 3-1 | 2x 0-1 | 3-0 | 1-3,7,4,5,,25,"1,56"
MKS Kluczbork,7,2x 1-1 | 2x 3-1 | 1-0 | 2-1 | 2-0,5,2,0,,17,"2,43"
Start Otwock,2,1-2 | 2-2 pd. k. 6-5,0,1,1,,1,"0,50"
Kolejarz Stróże,2,1-1 | 2-0,1,1,0,,4,"2,00"
Bruk-Bet Termalica Nieciecza,13,5-0 | 0-0 | 2x 2-0 | 2x 0-1 | 1-2 | 4x 2-2 | 1-0 | 2-1,5,5,3,,20,"1,54"
Odra Wodzisław Śląski,2,1-0 | 2-1,2,0,0,,6,"3,00"
Wisła Kraków,19,3x 1-0 | 2x 2-2 | 2x 1-3 | 1-1 | 2x 0-0 | 2-3 | 0-6 | 2x 2-1 | 3-4 | 2x 0-3 | 2-0 | 3-3,6,6,7,,24,"1,26"
Resovia,12,3-1 | 2-0 | 3x 1-1 | 2x 2-2 | 4-3 | 3-2 | 2-1 | 3-0,6,5,0,,23,"2,09"
Legia Warszawa,14,2x 2-1 | 2x 0-1 | 1-3 | 1-2 | 0-4 | 2x 1-0 | 0-3 | 1-4 | 0-2 | 0-5 | 2-2,4,1,9,,13,"0,93"
Olimpia Grudziądz,10,2-0 | 0-3 | 3-0 | 0-0 | 3x 2-1 | 2x 1-2,5,1,3,,16,"1,78"
Bytovia Bytów,6,2-0 | 2-1 | 0-2 | 2x 1-1 | 3-1,3,2,1,,11,"1,83"
Wigry Suwałki,8,1-1 | 0-2 | 0-3 | 1-0 | 5-0 | 3-3 | 0-1 | 4-0,3,2,3,,11,"1,38"
Chojniczanka Chojnice,14,0-1 | 2x 1-1 | 0-4 | 0-0 | 2x 2-1 | 2-2 | 2x 1-0 | 3-2 | 4-1 | 1-2,6,4,3,,22,"1,69"
Wisła Puławy,4,0-0 | 1-0 | 1-2 | 2-1,2,1,1,,7,"1,75"
Stal Mielec,10,0-1 | 3x 1-0 | 2-3 | 4-0 | 0-2 | 4-1 | 2x 1-2,5,0,5,,15,"1,50"
GKS Tychy,14,2x 1-0 | 3x 2-2 | 3-3 | 2x 1-1 | 2-0 | 2x 0-0 | 4-1 | 0-3 | 0-2,4,8,2,,20,"1,43"
Pogoń Siedlce,6,2x 0-0 | 0-3 | 2-0 | 0-1 | 3-1,2,2,2,,8,"1,33"
Puszcza Niepołomice ,10,2-1 | 2x 3-1 | 2-3 | 1-0 | 2-2 | 4-0 | 2-4 | 0-1 | 1-1,5,2,3,,17,"1,70"
Garbarnia Kraków,2,0-0 | 2-0,1,1,0,,4,"2,00"
Wisła Sandomierz,1,2-3 pd.,0,0,1,,0,"0,00"
Stal Rzeszów,5,1-0 | 0-5 | 2x 2-2 | 0-1,2,1,2,,7,"1,40"
Skra Częstochowa ,6,1-0 | 1-1 | 3x 0-1 | 3-0,2,1,3,,7,"1,17"
Olimpia Elbląg,2,0-0 | 1-1,0,2,0,,2,"1,00"
Pogoń Grodzisk Mazowiecki,2,1-3 | 0-2,0,0,2,,0,"0,00"
Świt Szczecin,4,3-3 | 2-1 | 1-0,2,1,0,,7,"2,33"
Wieczysta Kraków,2,1-0 | 3-2,2,0,0,,6,"3,00"
Rekord Bielsko-Biała,4,0-3 | 2-0 | 2-3,1,0,2,,3,"1,00"
Zagłębie II Lubin,2,2-1 | 4-1,2,0,0,,6,"3,00"
ŁKS II Łódź,4,2-0 | 3-0 | 1-0,3,0,0,,9,"3,00"
KKS 1925 Kalisz,4,2x 0-1 | 1-0,1,0,2,,3,"1,00"
Hutnik Kraków,4,2x 2-0 | 3-3,2,1,0,,7,"2,33"
Śląsk II Wrocław,2,0-0,0,1,0,,1,"1,00"
Unia Skierniewice,2,3-0,1,0,0,,3,"3,00"
GKS Wikielec,1,1-2,0,0,1,,0,"0,00"
Sokół Kleczew,2,2-5,0,0,1,,0,"0,00"
Podhale Nowy Targ,2,0-2,0,0,1,,0,"0,00"
