imię i nazwisko,narodowość,flaga,pozycja,data urodzenia,Wiek,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26,SUMA
Damian Galeja,Polska,https://flagcdn.com/w40/pl.png,pomocnik,05.02.1976,49,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,9
Artur Pajkos,Polska,https://flagcdn.com/w40/pl.png,obrońca,19.12.1972,53,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,21
Łysoń,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1
Marcin Folga,Polska,https://flagcdn.com/w40/pl.png,napastnik,31.03.1977,48,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,6
Patryk Krupa,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,12
Piotr Bielak,Polska,https://flagcdn.com/w40/pl.png,pomocnik,04.09.1976,49,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,13
Grzegorz Bogdan,Polska,https://flagcdn.com/w40/pl.png,pomocnik,27.08.1980,45,,,,,,,31.0,26.0,9.0,,,2.0,,,,,,,,,,,,,,,,,,,,68
Jarosław Bujok,Polska,https://flagcdn.com/w40/pl.png,obrońca,04.09.1974,51,,,,,34.0,32.0,31.0,31.0,31.0,37.0,,,,,,,,,,,,,,,,,,,,,,196
Dawid Bułka,Polska,https://flagcdn.com/w40/pl.png,bramkarz,01.06.1976,49,,,,,,1.0,7.0,32.0,13.0,,,,,,,,,,,,,,,,,,,,,,,53
Piotr Cetnarowicz,Polska,https://flagcdn.com/w40/pl.png,napastnik,19.05.1973,52,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,12
Piotr Czak,Polska,https://flagcdn.com/w40/pl.png,napastnik,18.05.1971,54,,,,,,,,32.0,29.0,,,,,,,,,,,,,,,,,,,,,,,61
Zdeněk Dembinný,Czechy,https://flagcdn.com/w40/cz.png,pomocnik,03.03.1980,45,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,4
Mariusz Gałgan,Polska,https://flagcdn.com/w40/pl.png,napastnik,15.06.1976,49,,,,,,16.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,,43
Paweł Hajduczek,Polska,https://flagcdn.com/w40/pl.png,pomocnik,17.05.1982,43,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,13
Lukáš Hojdys,Czechy,https://flagcdn.com/w40/cz.png,napastnik,28.11.1984,41,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,3
Mariusz Jendryczko,Polska,https://flagcdn.com/w40/pl.png,obrońca,26.06.1973,52,,,,31.0,26.0,33.0,29.0,28.0,15.0,,,,,,,,,,,,,,,,,,,,,,,162
Marcin Klaczka,Polska,https://flagcdn.com/w40/pl.png,obrońca,13.08.1973,52,,,,,,,,31.0,28.0,,,,,,,,,,,,,,,,,,,,,,,59
Michał Kurzeja,Polska,https://flagcdn.com/w40/pl.png,obrońca,01.02.1971,54,,,,26.0,28.0,30.0,26.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,119
Sebastian Łukiewicz,Polska,https://flagcdn.com/w40/pl.png,bramkarz,07.03.1971,54,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2
Robert Piekarski,Polska,https://flagcdn.com/w40/pl.png,obrońca,01.04.1970,55,,,,,30.0,38.0,33.0,33.0,27.0,14.0,,,,,,,,,,,,,,,,,,,,,,175
Adrian Sikora,Polska,https://flagcdn.com/w40/pl.png,napastnik,19.03.1980,45,,,,,,13.0,24.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,52
Andrzej Szłapa,Polska,https://flagcdn.com/w40/pl.png,pomocnik,19.06.1975,50,,,,,,,33.0,33.0,16.0,,,,,,,,,,,,,,,,,,,,,,,82
Dariusz Turkowski,Polska,https://flagcdn.com/w40/pl.png,obrońca,02.11.1975,50,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,10
Grzegorz Więzik,Polska,https://flagcdn.com/w40/pl.png,pomocnik,21.07.1963,62,,,,30.0,34.0,26.0,24.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,133
Grzegorz Wilczok,Polska,https://flagcdn.com/w40/pl.png,obrońca,19.03.1969,56,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,11
Bartosz Woźniak,Polska,https://flagcdn.com/w40/pl.png,pomocnik,23.09.1977,48,,,,,31.0,34.0,33.0,27.0,23.0,,,,,,,,,,,,,,,,,,,,,,,148
Sławomir Zachnik,Polska,https://flagcdn.com/w40/pl.png,pomocnik,05.06.1977,48,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,9
Damian Zdolski,Polska,https://flagcdn.com/w40/pl.png,napastnik,09.07.1984,41,,,,,4.0,6.0,3.0,9.0,13.0,10.0,,15.0,,,,,,,,,,,,,,,,,,,,60
Robert Zięba,Polska,https://flagcdn.com/w40/pl.png,obrońca,19.05.1981,44,,,,1.0,16.0,29.0,21.0,9.0,5.0,21.0,15.0,,,,,,,,,,,,,,,,,,,,,117
Marcin Żukowski,Polska,https://flagcdn.com/w40/pl.png,pomocnik,03.06.1981,44,,,,,,,,27.0,22.0,,,,,,,,,,,,,,,,,,,,,,,49
Mieczysław Agafon,Polska,https://flagcdn.com/w40/pl.png,pomocnik,18.11.1971,54,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,29
Łukasz Błasiak,Polska,https://flagcdn.com/w40/pl.png,napastnik,30.07.1978,47,,,,,,,,,14.0,36.0,,,,,,,,,,,,,,,,,,,,,,50
Sławomir Cienciała,Polska,https://flagcdn.com/w40/pl.png,obrońca,19.03.1983,42,,,,,,,,,12.0,27.0,,30.0,21.0,32.0,17.0,29.0,9.0,7.0,,,,,,,,,,,,,,184
Paweł Jermakowicz,Polska,https://flagcdn.com/w40/pl.png,obrońca,01.02.1975,50,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,18
Tomasz Kazimierowicz,Polska,https://flagcdn.com/w40/pl.png,pomocnik,12.06.1979,46,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,8
Piotr Koman,Polska,https://flagcdn.com/w40/pl.png,pomocnik,25.06.1985,40,,,,,,,,,4.0,38.0,38.0,29.0,16.0,1.0,,31.0,9.0,2.0,,,,,,,,,,,,,,168
Uzoma Luke,Nigeria,https://flagcdn.com/w40/ng.png,napastnik,27.05.1982,43,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,13
Marek Matuszek,Polska,https://flagcdn.com/w40/pl.png,bramkarz,13.11.1970,55,,,,,,,,,6.0,14.0,6.0,,,,,,,,,,,,,,,,,,,,,26
Łukasz Merda,Polska,https://flagcdn.com/w40/pl.png,bramkarz,04.05.1980,45,,,,,,,,,15.0,29.0,31.0,23.0,33.0,28.0,6.0,,,,,,,,,,,,,,,,,165
Bogdan Prusek,Polska,https://flagcdn.com/w40/pl.png,napastnik,11.04.1971,54,,,,,,,,,10.0,15.0,,,,,,,,,,,,,,,,,,,,,,25
Wojciech Rączka,Polska,https://flagcdn.com/w40/pl.png,pomocnik,01.11.1976,49,,,,,,,,,25.0,32.0,14.0,,,,,,,,,,,,,,,,,,,,,71
