Sezon;Data;Gospodarz;Gość;Wynik;Rola;Przeciwnik;Zawodnik;Minuty;Gole;Status;Karne;Żółte;Czerwone;Wejście;Zejście
2011/2012;21 listopada 2011 18:30;Podbeskidzie Bielsko-Biała;Lech Poznań;0 - 0;Gospodarz;Lech Poznań;Liran Cohen;64;0;Zszedł;0;1;0;0;64
2011/2012;21 listopada 2011 18:30;Podbeskidzie Bielsko-Biała;Lech Poznań;0 - 0;Gospodarz;Lech Poznań;Piotr Malinowski;26;0;Wszedł;0;1;0;64;0
2011/2012;21 listopada 2011 18:30;Podbeskidzie Bielsko-Biała;Lech Poznań;0 - 0;Gospodarz;Lech Poznań;Sebastian Ziajka;90;0;Cały mecz;0;0;0;0;0
2011/2012;21 listopada 2011 18:30;Podbeskidzie Bielsko-Biała;Lech Poznań;0 - 0;Gospodarz;Lech Poznań;Róbert Demjan;75;0;Zszedł;0;0;0;0;75
2011/2012;21 listopada 2011 18:30;Podbeskidzie Bielsko-Biała;Lech Poznań;0 - 0;Gospodarz;Lech Poznań;Adam Cieśliński;15;0;Wszedł;0;0;0;75;0
2011/2012;23 września 2011 18:00;Podbeskidzie Bielsko-Biała;Lechia Gdańsk;1 - 0;Gospodarz;Lechia Gdańsk;Mateusz Bąk;90;0;Cały mecz;0;0;0;0;0
2011/2012;23 września 2011 18:00;Podbeskidzie Bielsko-Biała;Lechia Gdańsk;1 - 0;Gospodarz;Lechia Gdańsk;Marek Sokołowski;79;0;Zszedł;0;1;0;0;79
2011/2012;23 września 2011 18:00;Podbeskidzie Bielsko-Biała;Lechia Gdańsk;1 - 0;Gospodarz;Lechia Gdańsk;Sławomir Cienciała;11;0;Wszedł;0;1;0;79;0
2011/2012;23 września 2011 18:00;Podbeskidzie Bielsko-Biała;Lechia Gdańsk;1 - 0;Gospodarz;Lechia Gdańsk;Juraj Dančík;90;0;Cały mecz;0;0;0;0;0
2011/2012;23 września 2011 18:00;Podbeskidzie Bielsko-Biała;Lechia Gdańsk;1 - 0;Gospodarz;Lechia Gdańsk;Bartłomiej Konieczny;90;0;Cały mecz;0;1;0;0;0
2011/2012;23 września 2011 18:00;Podbeskidzie Bielsko-Biała;Lechia Gdańsk;1 - 0;Gospodarz;Lechia Gdańsk;Krzysztof Król;90;0;Cały mecz;0;0;0;0;0
2011/2012;23 września 2011 18:00;Podbeskidzie Bielsko-Biała;Lechia Gdańsk;1 - 0;Gospodarz;Lechia Gdańsk;Adrian Sikora;59;0;Zszedł;0;0;0;0;59
2011/2012;23 września 2011 18:00;Podbeskidzie Bielsko-Biała;Lechia Gdańsk;1 - 0;Gospodarz;Lechia Gdańsk;Piotr Malinowski;31;1;Wszedł;0;0;0;59;0
2011/2012;23 września 2011 18:00;Podbeskidzie Bielsko-Biała;Lechia Gdańsk;1 - 0;Gospodarz;Lechia Gdańsk;Piotr Koman;90;0;Cały mecz;0;0;0;0;0
2011/2012;23 września 2011 18:00;Podbeskidzie Bielsko-Biała;Lechia Gdańsk;1 - 0;Gospodarz;Lechia Gdańsk;Dariusz Łatka;90;0;Cały mecz;0;1;0;0;0
2011/2012;23 września 2011 18:00;Podbeskidzie Bielsko-Biała;Lechia Gdańsk;1 - 0;Gospodarz;Lechia Gdańsk;Liran Cohen;90;0;Cały mecz;0;1;0;0;0
2011/2012;23 września 2011 18:00;Podbeskidzie Bielsko-Biała;Lechia Gdańsk;1 - 0;Gospodarz;Lechia Gdańsk;Sylwester Patejuk;90;0;Cały mecz;0;0;0;0;0
2011/2012;23 września 2011 18:00;Podbeskidzie Bielsko-Biała;Lechia Gdańsk;1 - 0;Gospodarz;Lechia Gdańsk;Adam Cieśliński;89;0;Zszedł;0;0;0;0;89
2011/2012;23 września 2011 18:00;Podbeskidzie Bielsko-Biała;Lechia Gdańsk;1 - 0;Gospodarz;Lechia Gdańsk;Róbert Demjan;1;0;Wszedł;0;0;0;89;0
2011/2012;10 marca 2012 15:45;Podbeskidzie Bielsko-Biała;Legia Warszawa;0 - 1;Gospodarz;Legia Warszawa;Richard Zajac;90;0;Cały mecz;0;0;0;0;0
2011/2012;10 marca 2012 15:45;Podbeskidzie Bielsko-Biała;Legia Warszawa;0 - 1;Gospodarz;Legia Warszawa;Marek Sokołowski;90;0;Cały mecz;0;0;0;0;0
2011/2012;10 marca 2012 15:45;Podbeskidzie Bielsko-Biała;Legia Warszawa;0 - 1;Gospodarz;Legia Warszawa;Juraj Dančík;90;0;Cały mecz;0;0;0;0;0
2011/2012;10 marca 2012 15:45;Podbeskidzie Bielsko-Biała;Legia Warszawa;0 - 1;Gospodarz;Legia Warszawa;Bartłomiej Konieczny;90;0;Cały mecz;0;0;0;0;0
2011/2012;10 marca 2012 15:45;Podbeskidzie Bielsko-Biała;Legia Warszawa;0 - 1;Gospodarz;Legia Warszawa;Łukasz Mierzejewski;90;0;Cały mecz;0;1;0;0;0
2011/2012;10 marca 2012 15:45;Podbeskidzie Bielsko-Biała;Legia Warszawa;0 - 1;Gospodarz;Legia Warszawa;Sebastian Ziajka;90;0;Cały mecz;0;0;0;0;0
2011/2012;10 marca 2012 15:45;Podbeskidzie Bielsko-Biała;Legia Warszawa;0 - 1;Gospodarz;Legia Warszawa;Dariusz Łatka;90;0;Cały mecz;0;0;0;0;0
2011/2012;10 marca 2012 15:45;Podbeskidzie Bielsko-Biała;Legia Warszawa;0 - 1;Gospodarz;Legia Warszawa;Liad Elmalich;46;0;Zszedł;0;1;0;0;46
2011/2012;10 marca 2012 15:45;Podbeskidzie Bielsko-Biała;Legia Warszawa;0 - 1;Gospodarz;Legia Warszawa;Piotr Malinowski;44;0;Wszedł;0;1;0;46;0
2011/2012;10 marca 2012 15:45;Podbeskidzie Bielsko-Biała;Legia Warszawa;0 - 1;Gospodarz;Legia Warszawa;Maciej Rogalski;90;0;Cały mecz;0;1;0;0;0
2011/2012;10 marca 2012 15:45;Podbeskidzie Bielsko-Biała;Legia Warszawa;0 - 1;Gospodarz;Legia Warszawa;Sylwester Patejuk;72;0;Zszedł;0;1;0;0;72
2011/2012;10 marca 2012 15:45;Podbeskidzie Bielsko-Biała;Legia Warszawa;0 - 1;Gospodarz;Legia Warszawa;Ivan Ćurić;18;0;Wszedł;0;1;0;72;0
2011/2012;10 marca 2012 15:45;Podbeskidzie Bielsko-Biała;Legia Warszawa;0 - 1;Gospodarz;Legia Warszawa;Róbert Demjan;73;0;Zszedł;0;0;0;0;73
2011/2012;10 marca 2012 15:45;Podbeskidzie Bielsko-Biała;Legia Warszawa;0 - 1;Gospodarz;Legia Warszawa;Adrian Sikora;17;0;Wszedł;0;0;0;73;0
2011/2012;31 marca 2012 15:45;Podbeskidzie Bielsko-Biała;Łódzki KS;0 - 1;Gospodarz;Łódzki KS;Richard Zajac;90;0;Cały mecz;0;0;0;0;0
2011/2012;31 marca 2012 15:45;Podbeskidzie Bielsko-Biała;Łódzki KS;0 - 1;Gospodarz;Łódzki KS;Marek Sokołowski;90;0;Cały mecz;0;0;0;0;0
2011/2012;31 marca 2012 15:45;Podbeskidzie Bielsko-Biała;Łódzki KS;0 - 1;Gospodarz;Łódzki KS;Damian Byrtek;90;0;Cały mecz;0;0;0;0;0
2011/2012;31 marca 2012 15:45;Podbeskidzie Bielsko-Biała;Łódzki KS;0 - 1;Gospodarz;Łódzki KS;Juraj Dančík;90;0;Cały mecz;0;0;0;0;0
2011/2012;31 marca 2012 15:45;Podbeskidzie Bielsko-Biała;Łódzki KS;0 - 1;Gospodarz;Łódzki KS;Krzysztof Król;90;0;Cały mecz;0;0;0;0;0
2011/2012;31 marca 2012 15:45;Podbeskidzie Bielsko-Biała;Łódzki KS;0 - 1;Gospodarz;Łódzki KS;Sebastian Ziajka;79;0;Zszedł;0;1;0;0;79
2011/2012;31 marca 2012 15:45;Podbeskidzie Bielsko-Biała;Łódzki KS;0 - 1;Gospodarz;Łódzki KS;Adrian Sikora;11;0;Wszedł;0;1;0;79;0
2011/2012;31 marca 2012 15:45;Podbeskidzie Bielsko-Biała;Łódzki KS;0 - 1;Gospodarz;Łódzki KS;Dariusz Łatka;90;0;Cały mecz;0;0;0;0;0
2011/2012;31 marca 2012 15:45;Podbeskidzie Bielsko-Biała;Łódzki KS;0 - 1;Gospodarz;Łódzki KS;Matej Náther;69;0;Zszedł;0;0;0;0;69
2011/2012;31 marca 2012 15:45;Podbeskidzie Bielsko-Biała;Łódzki KS;0 - 1;Gospodarz;Łódzki KS;Ivan Ćurić;21;0;Wszedł;0;0;0;69;0
2011/2012;31 marca 2012 15:45;Podbeskidzie Bielsko-Biała;Łódzki KS;0 - 1;Gospodarz;Łódzki KS;Liran Cohen;46;0;Zszedł;0;0;0;0;46
2011/2012;31 marca 2012 15:45;Podbeskidzie Bielsko-Biała;Łódzki KS;0 - 1;Gospodarz;Łódzki KS;Piotr Malinowski;44;0;Wszedł;0;0;0;46;0
2011/2012;31 marca 2012 15:45;Podbeskidzie Bielsko-Biała;Łódzki KS;0 - 1;Gospodarz;Łódzki KS;Sylwester Patejuk;90;0;Cały mecz;0;0;0;0;0
2011/2012;31 marca 2012 15:45;Podbeskidzie Bielsko-Biała;Łódzki KS;0 - 1;Gospodarz;Łódzki KS;Róbert Demjan;90;0;Cały mecz;0;0;0;0;0
2011/2012;6 maja 2012 17:00;Podbeskidzie Bielsko-Biała;Polonia Warszawa;1 - 1;Gospodarz;Polonia Warszawa;Richard Zajac;90;0;Cały mecz;0;0;0;0;0
2011/2012;6 maja 2012 17:00;Podbeskidzie Bielsko-Biała;Polonia Warszawa;1 - 1;Gospodarz;Polonia Warszawa;Łukasz Mierzejewski;90;0;Cały mecz;0;0;0;0;0
2011/2012;6 maja 2012 17:00;Podbeskidzie Bielsko-Biała;Polonia Warszawa;1 - 1;Gospodarz;Polonia Warszawa;Damian Byrtek;90;0;Cały mecz;0;0;0;0;0
2011/2012;6 maja 2012 17:00;Podbeskidzie Bielsko-Biała;Polonia Warszawa;1 - 1;Gospodarz;Polonia Warszawa;Ondřej Šourek;90;0;Cały mecz;0;0;0;0;0
2011/2012;6 maja 2012 17:00;Podbeskidzie Bielsko-Biała;Polonia Warszawa;1 - 1;Gospodarz;Polonia Warszawa;Krzysztof Król;90;0;Cały mecz;0;0;0;0;0
2011/2012;6 maja 2012 17:00;Podbeskidzie Bielsko-Biała;Polonia Warszawa;1 - 1;Gospodarz;Polonia Warszawa;Mariusz Sacha;59;0;Zszedł;0;0;0;0;59
2011/2012;6 maja 2012 17:00;Podbeskidzie Bielsko-Biała;Polonia Warszawa;1 - 1;Gospodarz;Polonia Warszawa;Sebastian Ziajka;31;0;Wszedł;0;0;0;59;0
2011/2012;6 maja 2012 17:00;Podbeskidzie Bielsko-Biała;Polonia Warszawa;1 - 1;Gospodarz;Polonia Warszawa;Matej Náther;90;0;Cały mecz;0;0;0;0;0
2011/2012;6 maja 2012 17:00;Podbeskidzie Bielsko-Biała;Polonia Warszawa;1 - 1;Gospodarz;Polonia Warszawa;Wojciech Reiman;36;0;Zszedł;0;0;0;0;36
2011/2012;6 maja 2012 17:00;Podbeskidzie Bielsko-Biała;Polonia Warszawa;1 - 1;Gospodarz;Polonia Warszawa;Piotr Malinowski;54;0;Wszedł;0;0;0;36;0
2011/2012;6 maja 2012 17:00;Podbeskidzie Bielsko-Biała;Polonia Warszawa;1 - 1;Gospodarz;Polonia Warszawa;Liran Cohen;59;0;Zszedł;0;1;0;0;59
2011/2012;6 maja 2012 17:00;Podbeskidzie Bielsko-Biała;Polonia Warszawa;1 - 1;Gospodarz;Polonia Warszawa;Damian Nowak;31;0;Wszedł;0;1;0;59;0
2011/2012;6 maja 2012 17:00;Podbeskidzie Bielsko-Biała;Polonia Warszawa;1 - 1;Gospodarz;Polonia Warszawa;Sylwester Patejuk;90;1;Cały mecz;1;0;0;0;0
2011/2012;6 maja 2012 17:00;Podbeskidzie Bielsko-Biała;Polonia Warszawa;1 - 1;Gospodarz;Polonia Warszawa;Róbert Demjan;90;0;Cały mecz;0;1;0;0;0
2011/2012;17 września 2011 13:30;Podbeskidzie Bielsko-Biała;Ruch Chorzów;0 - 1;Gospodarz;Ruch Chorzów;Mateusz Bąk;90;0;Cały mecz;0;0;0;0;0
2011/2012;17 września 2011 13:30;Podbeskidzie Bielsko-Biała;Ruch Chorzów;0 - 1;Gospodarz;Ruch Chorzów;Tomasz Górkiewicz;90;0;Cały mecz;0;0;0;0;0
2011/2012;17 września 2011 13:30;Podbeskidzie Bielsko-Biała;Ruch Chorzów;0 - 1;Gospodarz;Ruch Chorzów;Ondřej Šourek;90;0;Cały mecz;0;0;0;0;0
2011/2012;17 września 2011 13:30;Podbeskidzie Bielsko-Biała;Ruch Chorzów;0 - 1;Gospodarz;Ruch Chorzów;Bartłomiej Konieczny;90;0;Cały mecz;0;0;0;0;0
2011/2012;17 września 2011 13:30;Podbeskidzie Bielsko-Biała;Ruch Chorzów;0 - 1;Gospodarz;Ruch Chorzów;Krzysztof Król;90;0;Cały mecz;0;0;0;0;0
2011/2012;17 września 2011 13:30;Podbeskidzie Bielsko-Biała;Ruch Chorzów;0 - 1;Gospodarz;Ruch Chorzów;Marek Sokołowski;90;0;Cały mecz;0;0;0;0;0
2011/2012;17 września 2011 13:30;Podbeskidzie Bielsko-Biała;Ruch Chorzów;0 - 1;Gospodarz;Ruch Chorzów;František Metelka;52;0;Zszedł;0;0;0;0;52
2011/2012;17 września 2011 13:30;Podbeskidzie Bielsko-Biała;Ruch Chorzów;0 - 1;Gospodarz;Ruch Chorzów;Liran Cohen;38;0;Wszedł;0;0;0;52;0
2011/2012;17 września 2011 13:30;Podbeskidzie Bielsko-Biała;Ruch Chorzów;0 - 1;Gospodarz;Ruch Chorzów;Dariusz Łatka;77;0;Zszedł;0;0;0;0;77
2011/2012;17 września 2011 13:30;Podbeskidzie Bielsko-Biała;Ruch Chorzów;0 - 1;Gospodarz;Ruch Chorzów;Sebastian Ziajka;13;0;Wszedł;0;0;0;77;0
2011/2012;17 września 2011 13:30;Podbeskidzie Bielsko-Biała;Ruch Chorzów;0 - 1;Gospodarz;Ruch Chorzów;Sylwester Patejuk;90;0;Cały mecz;0;0;0;0;0
2011/2012;17 września 2011 13:30;Podbeskidzie Bielsko-Biała;Ruch Chorzów;0 - 1;Gospodarz;Ruch Chorzów;Maciej Rogalski;90;0;Cały mecz;0;0;0;0;0
2011/2012;17 września 2011 13:30;Podbeskidzie Bielsko-Biała;Ruch Chorzów;0 - 1;Gospodarz;Ruch Chorzów;Róbert Demjan;46;0;Zszedł;0;0;0;0;46
2011/2012;17 września 2011 13:30;Podbeskidzie Bielsko-Biała;Ruch Chorzów;0 - 1;Gospodarz;Ruch Chorzów;Adam Cieśliński;44;0;Wszedł;0;0;0;46;0
2011/2012;14 kwietnia 2012 13:30;Podbeskidzie Bielsko-Biała;Śląsk Wrocław;1 - 1;Gospodarz;Śląsk Wrocław;Mateusz Bąk;90;0;Cały mecz;0;0;0;0;0
2011/2012;14 kwietnia 2012 13:30;Podbeskidzie Bielsko-Biała;Śląsk Wrocław;1 - 1;Gospodarz;Śląsk Wrocław;Marek Sokołowski;90;0;Cały mecz;0;0;0;0;0
2011/2012;14 kwietnia 2012 13:30;Podbeskidzie Bielsko-Biała;Śląsk Wrocław;1 - 1;Gospodarz;Śląsk Wrocław;Juraj Dančík;90;0;Cały mecz;0;0;0;0;0
2011/2012;14 kwietnia 2012 13:30;Podbeskidzie Bielsko-Biała;Śląsk Wrocław;1 - 1;Gospodarz;Śląsk Wrocław;Bartłomiej Konieczny;90;0;Cały mecz;0;0;0;0;0
2011/2012;14 kwietnia 2012 13:30;Podbeskidzie Bielsko-Biała;Śląsk Wrocław;1 - 1;Gospodarz;Śląsk Wrocław;Łukasz Mierzejewski;80;0;Zszedł;0;0;0;0;80
2011/2012;14 kwietnia 2012 13:30;Podbeskidzie Bielsko-Biała;Śląsk Wrocław;1 - 1;Gospodarz;Śląsk Wrocław;Damian Nowak;10;0;Wszedł;0;0;0;80;0
2011/2012;14 kwietnia 2012 13:30;Podbeskidzie Bielsko-Biała;Śląsk Wrocław;1 - 1;Gospodarz;Śląsk Wrocław;Sebastian Ziajka;90;0;Cały mecz;0;0;0;0;0
2011/2012;14 kwietnia 2012 13:30;Podbeskidzie Bielsko-Biała;Śląsk Wrocław;1 - 1;Gospodarz;Śląsk Wrocław;Dariusz Łatka;90;0;Cały mecz;0;1;0;0;0
2011/2012;14 kwietnia 2012 13:30;Podbeskidzie Bielsko-Biała;Śląsk Wrocław;1 - 1;Gospodarz;Śląsk Wrocław;Wojciech Reiman;90;0;Cały mecz;0;0;0;0;0
2011/2012;14 kwietnia 2012 13:30;Podbeskidzie Bielsko-Biała;Śląsk Wrocław;1 - 1;Gospodarz;Śląsk Wrocław;Liran Cohen;71;0;Zszedł;0;0;0;0;71
2011/2012;14 kwietnia 2012 13:30;Podbeskidzie Bielsko-Biała;Śląsk Wrocław;1 - 1;Gospodarz;Śląsk Wrocław;Piotr Malinowski;19;0;Wszedł;0;0;0;71;0
2011/2012;14 kwietnia 2012 13:30;Podbeskidzie Bielsko-Biała;Śląsk Wrocław;1 - 1;Gospodarz;Śląsk Wrocław;Sylwester Patejuk;90;0;Zszedł;0;0;0;0;90
2011/2012;14 kwietnia 2012 13:30;Podbeskidzie Bielsko-Biała;Śląsk Wrocław;1 - 1;Gospodarz;Śląsk Wrocław;Mariusz Sacha;0;0;Wszedł;0;0;0;90;0
2011/2012;14 kwietnia 2012 13:30;Podbeskidzie Bielsko-Biała;Śląsk Wrocław;1 - 1;Gospodarz;Śląsk Wrocław;Róbert Demjan;90;1;Cały mecz;0;0;0;0;0
2011/2012;14 sierpnia 2011 14:30;Podbeskidzie Bielsko-Biała;Widzew Łódź;0 - 0;Gospodarz;Widzew Łódź;Mateusz Bąk;90;0;Cały mecz;0;0;0;0;0
2011/2012;14 sierpnia 2011 14:30;Podbeskidzie Bielsko-Biała;Widzew Łódź;0 - 0;Gospodarz;Widzew Łódź;Sławomir Cienciała;90;0;Cały mecz;0;0;0;0;0
2011/2012;14 sierpnia 2011 14:30;Podbeskidzie Bielsko-Biała;Widzew Łódź;0 - 0;Gospodarz;Widzew Łódź;Ondřej Šourek;90;0;Cały mecz;0;0;0;0;0
2011/2012;14 sierpnia 2011 14:30;Podbeskidzie Bielsko-Biała;Widzew Łódź;0 - 0;Gospodarz;Widzew Łódź;Bartłomiej Konieczny;90;0;Cały mecz;0;0;0;0;0
2011/2012;14 sierpnia 2011 14:30;Podbeskidzie Bielsko-Biała;Widzew Łódź;0 - 0;Gospodarz;Widzew Łódź;Krzysztof Król;90;0;Cały mecz;0;0;0;0;0
2011/2012;14 sierpnia 2011 14:30;Podbeskidzie Bielsko-Biała;Widzew Łódź;0 - 0;Gospodarz;Widzew Łódź;Marek Sokołowski;90;0;Cały mecz;0;0;0;0;0
2011/2012;14 sierpnia 2011 14:30;Podbeskidzie Bielsko-Biała;Widzew Łódź;0 - 0;Gospodarz;Widzew Łódź;Piotr Koman;65;0;Zszedł;0;0;0;0;65
2011/2012;14 sierpnia 2011 14:30;Podbeskidzie Bielsko-Biała;Widzew Łódź;0 - 0;Gospodarz;Widzew Łódź;Piotr Malinowski;25;0;Wszedł;0;0;0;65;0
2011/2012;14 sierpnia 2011 14:30;Podbeskidzie Bielsko-Biała;Widzew Łódź;0 - 0;Gospodarz;Widzew Łódź;Dariusz Łatka;73;0;Zszedł;0;1;0;0;73
2011/2012;14 sierpnia 2011 14:30;Podbeskidzie Bielsko-Biała;Widzew Łódź;0 - 0;Gospodarz;Widzew Łódź;Matej Náther;17;0;Wszedł;0;1;0;73;0
2011/2012;14 sierpnia 2011 14:30;Podbeskidzie Bielsko-Biała;Widzew Łódź;0 - 0;Gospodarz;Widzew Łódź;Maciej Rogalski;64;0;Zszedł;0;0;0;0;64
2011/2012;14 sierpnia 2011 14:30;Podbeskidzie Bielsko-Biała;Widzew Łódź;0 - 0;Gospodarz;Widzew Łódź;Dariusz Kołodziej;26;0;Wszedł;0;0;0;64;0
2011/2012;14 sierpnia 2011 14:30;Podbeskidzie Bielsko-Biała;Widzew Łódź;0 - 0;Gospodarz;Widzew Łódź;Adrian Sikora;90;0;Cały mecz;0;0;0;0;0
2011/2012;14 sierpnia 2011 14:30;Podbeskidzie Bielsko-Biała;Widzew Łódź;0 - 0;Gospodarz;Widzew Łódź;Róbert Demjan;90;0;Cały mecz;0;0;0;0;0
2011/2012;21 kwietnia 2012 18:00;Podbeskidzie Bielsko-Biała;Wisła Kraków;1 - 3;Gospodarz;Wisła Kraków;Mateusz Bąk;90;0;Cały mecz;0;0;0;0;0
2011/2012;21 kwietnia 2012 18:00;Podbeskidzie Bielsko-Biała;Wisła Kraków;1 - 3;Gospodarz;Wisła Kraków;Marek Sokołowski;90;0;Cały mecz;0;0;0;0;0
2011/2012;21 kwietnia 2012 18:00;Podbeskidzie Bielsko-Biała;Wisła Kraków;1 - 3;Gospodarz;Wisła Kraków;Juraj Dančík;81;0;Zszedł;0;0;0;0;81
2011/2012;21 kwietnia 2012 18:00;Podbeskidzie Bielsko-Biała;Wisła Kraków;1 - 3;Gospodarz;Wisła Kraków;Damian Byrtek;9;0;Wszedł;0;0;0;81;0
2011/2012;21 kwietnia 2012 18:00;Podbeskidzie Bielsko-Biała;Wisła Kraków;1 - 3;Gospodarz;Wisła Kraków;Bartłomiej Konieczny;90;0;Cały mecz;0;0;0;0;0
2011/2012;21 kwietnia 2012 18:00;Podbeskidzie Bielsko-Biała;Wisła Kraków;1 - 3;Gospodarz;Wisła Kraków;Tomasz Górkiewicz;90;0;Cały mecz;0;0;0;0;0
2011/2012;21 kwietnia 2012 18:00;Podbeskidzie Bielsko-Biała;Wisła Kraków;1 - 3;Gospodarz;Wisła Kraków;Sebastian Ziajka;90;0;Cały mecz;0;0;0;0;0
2011/2012;21 kwietnia 2012 18:00;Podbeskidzie Bielsko-Biała;Wisła Kraków;1 - 3;Gospodarz;Wisła Kraków;Dariusz Łatka;90;0;Cały mecz;0;0;0;0;0
2011/2012;21 kwietnia 2012 18:00;Podbeskidzie Bielsko-Biała;Wisła Kraków;1 - 3;Gospodarz;Wisła Kraków;Wojciech Reiman;83;0;Zszedł;0;1;0;0;83
2011/2012;21 kwietnia 2012 18:00;Podbeskidzie Bielsko-Biała;Wisła Kraków;1 - 3;Gospodarz;Wisła Kraków;Liran Cohen;7;1;Wszedł;0;1;0;83;0
2011/2012;21 kwietnia 2012 18:00;Podbeskidzie Bielsko-Biała;Wisła Kraków;1 - 3;Gospodarz;Wisła Kraków;Piotr Malinowski;59;0;Zszedł;0;0;0;0;59
2011/2012;21 kwietnia 2012 18:00;Podbeskidzie Bielsko-Biała;Wisła Kraków;1 - 3;Gospodarz;Wisła Kraków;Mariusz Sacha;31;0;Wszedł;0;0;0;59;0
2011/2012;21 kwietnia 2012 18:00;Podbeskidzie Bielsko-Biała;Wisła Kraków;1 - 3;Gospodarz;Wisła Kraków;Sylwester Patejuk;90;0;Cały mecz;0;0;0;0;0
2011/2012;21 kwietnia 2012 18:00;Podbeskidzie Bielsko-Biała;Wisła Kraków;1 - 3;Gospodarz;Wisła Kraków;Róbert Demjan;90;0;Cały mecz;0;0;0;0;0
2011/2012;25 lutego 2012 13:30;Podbeskidzie Bielsko-Biała;Zagłębie Lubin;1 - 0;Gospodarz;Zagłębie Lubin;Richard Zajac;90;0;Cały mecz;0;0;0;0;0
2011/2012;25 lutego 2012 13:30;Podbeskidzie Bielsko-Biała;Zagłębie Lubin;1 - 0;Gospodarz;Zagłębie Lubin;Łukasz Mierzejewski;90;0;Cały mecz;0;1;0;0;0
2011/2012;25 lutego 2012 13:30;Podbeskidzie Bielsko-Biała;Zagłębie Lubin;1 - 0;Gospodarz;Zagłębie Lubin;Juraj Dančík;90;0;Cały mecz;0;0;0;0;0
2011/2012;25 lutego 2012 13:30;Podbeskidzie Bielsko-Biała;Zagłębie Lubin;1 - 0;Gospodarz;Zagłębie Lubin;Bartłomiej Konieczny;90;0;Cały mecz;0;0;0;0;0
2011/2012;25 lutego 2012 13:30;Podbeskidzie Bielsko-Biała;Zagłębie Lubin;1 - 0;Gospodarz;Zagłębie Lubin;Krzysztof Król;90;0;Cały mecz;0;1;0;0;0
2011/2012;25 lutego 2012 13:30;Podbeskidzie Bielsko-Biała;Zagłębie Lubin;1 - 0;Gospodarz;Zagłębie Lubin;Sebastian Ziajka;90;1;Cały mecz;0;0;0;0;0
2011/2012;25 lutego 2012 13:30;Podbeskidzie Bielsko-Biała;Zagłębie Lubin;1 - 0;Gospodarz;Zagłębie Lubin;Dariusz Łatka;90;0;Cały mecz;0;0;0;0;0
2011/2012;25 lutego 2012 13:30;Podbeskidzie Bielsko-Biała;Zagłębie Lubin;1 - 0;Gospodarz;Zagłębie Lubin;Matej Náther;46;0;Zszedł;0;0;0;0;46
2011/2012;25 lutego 2012 13:30;Podbeskidzie Bielsko-Biała;Zagłębie Lubin;1 - 0;Gospodarz;Zagłębie Lubin;Liad Elmalich;44;0;Wszedł;0;0;0;46;0
2011/2012;25 lutego 2012 13:30;Podbeskidzie Bielsko-Biała;Zagłębie Lubin;1 - 0;Gospodarz;Zagłębie Lubin;Maciej Rogalski;60;0;Zszedł;0;0;0;0;60
2011/2012;25 lutego 2012 13:30;Podbeskidzie Bielsko-Biała;Zagłębie Lubin;1 - 0;Gospodarz;Zagłębie Lubin;Piotr Malinowski;30;0;Wszedł;0;0;0;60;0
2011/2012;25 lutego 2012 13:30;Podbeskidzie Bielsko-Biała;Zagłębie Lubin;1 - 0;Gospodarz;Zagłębie Lubin;Sylwester Patejuk;90;0;Zszedł;0;0;0;0;90
2011/2012;25 lutego 2012 13:30;Podbeskidzie Bielsko-Biała;Zagłębie Lubin;1 - 0;Gospodarz;Zagłębie Lubin;Adrian Sikora;0;0;Wszedł;0;0;0;90;0
2011/2012;25 lutego 2012 13:30;Podbeskidzie Bielsko-Biała;Zagłębie Lubin;1 - 0;Gospodarz;Zagłębie Lubin;Róbert Demjan;90;0;Cały mecz;0;0;0;0;0
2011/2012;25 listopada 2011 18:00;Polonia Warszawa;Podbeskidzie Bielsko-Biała;2 - 1;Gość;Polonia Warszawa;Richard Zajac;90;0;Cały mecz;0;0;0;0;0
2011/2012;25 listopada 2011 18:00;Polonia Warszawa;Podbeskidzie Bielsko-Biała;2 - 1;Gość;Polonia Warszawa;Marek Sokołowski;90;0;Cały mecz;0;0;0;0;0
2011/2012;25 listopada 2011 18:00;Polonia Warszawa;Podbeskidzie Bielsko-Biała;2 - 1;Gość;Polonia Warszawa;Ondřej Šourek;90;0;Cały mecz;0;0;0;0;0
2011/2012;25 listopada 2011 18:00;Polonia Warszawa;Podbeskidzie Bielsko-Biała;2 - 1;Gość;Polonia Warszawa;Bartłomiej Konieczny;35;0;Zszedł;0;1;0;0;35
2011/2012;25 listopada 2011 18:00;Polonia Warszawa;Podbeskidzie Bielsko-Biała;2 - 1;Gość;Polonia Warszawa;Piotr Koman;55;0;Wszedł;0;1;0;35;0
2011/2012;25 listopada 2011 18:00;Polonia Warszawa;Podbeskidzie Bielsko-Biała;2 - 1;Gość;Polonia Warszawa;Tomasz Górkiewicz;90;0;Cały mecz;0;0;0;0;0
2011/2012;25 listopada 2011 18:00;Polonia Warszawa;Podbeskidzie Bielsko-Biała;2 - 1;Gość;Polonia Warszawa;Sebastian Ziajka;90;0;Cały mecz;0;0;0;0;0
2011/2012;25 listopada 2011 18:00;Polonia Warszawa;Podbeskidzie Bielsko-Biała;2 - 1;Gość;Polonia Warszawa;Matej Náther;90;0;Cały mecz;0;0;0;0;0
