Mecz,kolejka,sezon,data meczu,data sortowanie,miejsce rozgrywania,TSP,rywal,wynik,strzelcy,rozgrywki,frekwencja
821,24,2019/20,"sobota, 6 czerwca 2020",06-06),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Bruk-Bet Termalica Nieciecza,1-0,Marko Roginić 30,I liga,bez udziału publiczności
822,25,2019/20,"piątek, 12 czerwca 2020",06-12),Legnica,Podbeskidzie Bielsko-Biała,Miedź Legnica,2-2,"Karol Danielak 35, Dmytro Baszłaj 90",I liga,bez udziału publiczności
823,26,2019/20,"wtorek, 16 czerwca 2020",06-16),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Puszcza Niepołomice ,2-2,"Michał Rzuchowski 5, Mateusz Sopoćko 80",I liga,bez udziału publiczności
824,27,2019/20,"niedziela, 21 czerwca 2020",06-21),Tychy,Podbeskidzie Bielsko-Biała,GKS Tychy,1-1,Kamil Biliński 73,I liga,1 763
825,28,2019/20,"niedziela, 28 czerwca 2020",06-28),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Stomil Olsztyn,2-0,"Mateusz Bondarenko 58 (s), Karol Danielak 63",I liga,1 812
826,29,2019/20,"czwartek, 2 lipca 2020",07-02),Bełchatów,Podbeskidzie Bielsko-Biała,GKS Bełchatów,1-1,Kornel Osyra 90,I liga,625
827,30,2019/20,"niedziela, 5 lipca 2020",07-05),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Radomiak Radom,4-2,"Łukasz Sierpina 9, Marko Roginić 45, Aleksander Komor 78, Kamil Biliński 83",I liga,2 374
828,31,2019/20,"sobota, 11 lipca 2020",07-11),Jastrzębie,Podbeskidzie Bielsko-Biała,GKS Jastrzębie,3-0,"Mateusz Sopoćko 39, Marko Roginić 60, Tomasz Nowak 79",I liga,755
829,32,2019/20,"środa, 15 lipca 2020",07-15),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Odra Opole,4-3,"Bartosz Jaroch 36, Karol Danielak 40, Piotr Żemło 48 (s), Michał Rzuchowski 63",I liga,3 700
830,33,2019/20,"sobota, 18 lipca 2020",07-18),Nowy Sącz,Podbeskidzie Bielsko-Biała,Sandecja Nowy Sącz,0-1,,I liga,530
831,34,2019/20,"sobota, 25 lipca 2020",07-25),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Chrobry Głogów,0-1,,I liga,4 359
832,I runda,2020/21,"sobota, 15 sierpnia 2020",08-15),Rzeszów,Podbeskidzie Bielsko-Biała,Stal Rzeszów,1-0,Karol Danielak 33,Puchar Polski,921
833,1,2020/21,"niedziela, 23 sierpnia 2020",08-23),Zabrze,Podbeskidzie Bielsko-Biała,Górnik Zabrze,2-4,"Kamil Biliński 57, 82",Ekstraklasa,7 368
834,2,2020/21,"niedziela, 30 sierpnia 2020",08-30),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Cracovia,2-2,"Karol Danielak 16, Aleksander Komor 58",Ekstraklasa,4 308
835,3,2020/21,"piątek, 11 września 2020",09-11),Białystok,Podbeskidzie Bielsko-Biała,Jagiellonia Białystok,2-2,"Kamil Biliński 18, Michał Rzuchowski 37",Ekstraklasa,5 065
836,4,2020/21,"piątek, 18 września 2020",09-18),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Raków Częstochowa,1-4,Tomasz Nowak 13,Ekstraklasa,4 397
837,5,2020/21,"sobota, 26 września 2020",09-26),Gdańsk,Podbeskidzie Bielsko-Biała,Lechia Gdańsk,0-4,,Ekstraklasa,4 877
838,6,2020/21,"sobota, 3 października 2020",10-03),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Stal Mielec,1-0,Kamil Biliński 32,Ekstraklasa,2 987
839,7,2020/21,"poniedziałek, 19 października 2020",10-19),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Warta Poznań,1-2,Maksymilian Sitek 58,Ekstraklasa,bez udziału publiczności
840,8,2020/21,"sobota, 24 października 2020",10-24),Kraków,Podbeskidzie Bielsko-Biała,Wisła Kraków,0-3,,Ekstraklasa,bez udziału publiczności
841,10,2020/21,"poniedziałek, 9 listopada 2020",11-09),Szczecin,Podbeskidzie Bielsko-Biała,Pogoń Szczecin,1-1,Kamil Biliński 29,Ekstraklasa,bez udziału publiczności
842,9,2020/21,"wtorek, 24 listopada 2020",11-24),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Zagłębie Lubin,2-1,"Mateusz Marzec 23, Desley Ubbink 74",Ekstraklasa,bez udziału publiczności
843,11,2020/21,"sobota, 28 listopada 2020",11-28),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Śląsk Wrocław,0-2,,Ekstraklasa,bez udziału publiczności
844,1/16 finału,2020/21,"wtorek, 1 grudnia 2020",12-01),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Zagłębie Lubin,2-4 pd.,"Sierhij Miakuszko 63, 102",Puchar Polski,bez udziału publiczności
845,12,2020/21,"niedziela, 6 grudnia 2020",12-06),Poznań,Podbeskidzie Bielsko-Biała,Lech Poznań,0-4,,Ekstraklasa,bez udziału publiczności
846,13,2020/21,"piątek, 11 grudnia 2020",12-11),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Piast Gliwice,0-5,,Ekstraklasa,bez udziału publiczności
847,14,2020/21,"piątek, 18 grudnia 2020",12-18),Płock,Podbeskidzie Bielsko-Biała,Wisła Płock,1-4,Dušan Lagator 69 (s),Ekstraklasa,bez udziału publiczności
848,15,2020/21,"niedziela, 31 stycznia 2021",01-31),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Legia Warszawa,1-0,Rafał Janicki 48,Ekstraklasa,bez udziału publiczności
849,16,2020/21,"niedziela, 7 lutego 2021",02-07),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Górnik Zabrze,2-1,"Kamil Biliński 79, 90",Ekstraklasa,bez udziału publiczności
850,17,2020/21,"sobota, 13 lutego 2021",02-13),Kraków,Podbeskidzie Bielsko-Biała,Cracovia,1-1,Jakub Hora 25,Ekstraklasa,bez udziału publiczności
851,18,2020/21,"sobota, 20 lutego 2021",02-20),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Jagiellonia Białystok,1-1,Rafał Janicki 13,Ekstraklasa,bez udziału publiczności
852,19,2020/21,"piątek, 26 lutego 2021",02-26),Częstochowa,Podbeskidzie Bielsko-Biała,Raków Częstochowa,0-1,,Ekstraklasa,bez udziału publiczności
853,20,2020/21,"sobota, 6 marca 2021",03-06),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Lechia Gdańsk,2-2,"Milan Rundić 31, Kamil Biliński 88",Ekstraklasa,bez udziału publiczności
854,21,2020/21,"poniedziałek, 15 marca 2021",03-15),Mielec,Podbeskidzie Bielsko-Biała,Stal Mielec,1-2,Kamil Biliński 32,Ekstraklasa,bez udziału publiczności
855,22,2020/21,"niedziela, 21 marca 2021",03-21),Grodzisk Wielkopolski,Podbeskidzie Bielsko-Biała,Warta Poznań,0-2,,Ekstraklasa,bez udziału publiczności
856,23,2020/21,"poniedziałek, 5 kwietnia 2021",04-05),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Wisła Kraków,2-0,"Desley Ubbink 13, David Niepsuj 47",Ekstraklasa,bez udziału publiczności
857,24,2020/21,"niedziela, 11 kwietnia 2021",04-11),Lubin,Podbeskidzie Bielsko-Biała,Zagłębie Lubin,1-2,Kamil Biliński,Ekstraklasa,bez udziału publiczności
858,25,2020/21,"piątek, 16 kwietnia 2021",04-16),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Pogoń Szczecin,0-2,,Ekstraklasa,bez udziału publiczności
859,26,2020/21,"wtorek, 20 kwietnia 2021",04-20),Wrocław,Podbeskidzie Bielsko-Biała,Śląsk Wrocław,3-4,"Rafał Janicki 41, Kamil Biliński 70, Marko Roginić 78",Ekstraklasa,bez udziału publiczności
860,27,2020/21,"piątek, 23 kwietnia 2021",04-23),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Lech Poznań,1-0,Marko Roginić 74,Ekstraklasa,bez udziału publiczności
861,28,2020/21,"poniedziałek, 3 maja 2021",05-03),Gliwice,Podbeskidzie Bielsko-Biała,Piast Gliwice,0-2,,Ekstraklasa,bez udziału publiczności
862,29,2020/21,"sobota, 8 maja 2021",05-08),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Wisła Płock,1-1,Jakub Hora 5,Ekstraklasa,bez udziału publiczności
863,30,2020/21,"niedziela, 16 maja 2021",05-16),Warszawa,Podbeskidzie Bielsko-Biała,Legia Warszawa,0-1,,Ekstraklasa,6 872
864,1,2021/22,"niedziela, 1 sierpnia 2021",08-01),Polkowice,Podbeskidzie Bielsko-Biała,Górnik Polkowice,1-1,Kamil Biliński 45,I liga,590
865,2,2021/22,"piątek, 6 sierpnia 2021",08-06),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Odra Opole,0-3,,I liga,2 638
866,3,2021/22,"sobota, 14 sierpnia 2021",08-14),Katowice,Podbeskidzie Bielsko-Biała,GKS Katowice,2-2,"Kacper Gach 12, Kamil Biliński 21",I liga,2 291
867,4,2021/22,"wtorek, 17 sierpnia 2021",08-17),Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Tychy,0-0,,I liga,1 936
868,5,2021/22,"poniedziałek, 23 sierpnia 2021",08-23),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Skra Częstochowa ,1-0,Kamil Biliński 14,I liga,1 974
869,6,2021/22,"niedziela, 29 sierpnia 2021",08-29),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Puszcza Niepołomice ,4-0,"Dawid Polkowski 15, Ivan Hladík 65 (s), Marko Roginić 90, Kamil Biliński 90",I liga,3 956
870,7,2021/22,"niedziela, 5 września 2021",09-05),Jastrzębie,Podbeskidzie Bielsko-Biała,GKS Jastrzębie,1-0,Konrad Gutowski 83,I liga,1 354
871,8,2021/22,"sobota, 11 września 2021",09-11),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Korona Kielce,2-3,"Giorgi Merebaszwili 44, Kamil Biliński 59",I liga,3 403
872,9,2021/22,"sobota, 18 września 2021",09-18),Łódź,Podbeskidzie Bielsko-Biała,Łódzki KS,2-1,"Mathieu Scalet 44, Marko Roginić 68",I liga,4 198
873,I runda,2021/22,"środa, 22 września 2021",09-22),Lublin,Podbeskidzie Bielsko-Biała,Motor Lublin,0-1,,Puchar Polski,2 169
874,10,2021/22,"niedziela, 26 września 2021",09-26),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Resovia,2-0,"Goku 2, Giorgi Merebaszwili 48",I liga,2 963
875,11,2021/22,"piątek, 1 października 2021",10-01),Legnica,Podbeskidzie Bielsko-Biała,Miedź Legnica,2-4,"Kacper Gach 7, Julio Rodríguez 90",I liga,2 053
876,13,2021/22,"sobota, 16 października 2021",10-16),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Sandecja Nowy Sącz,0-1,,I liga,2 843
877,12,2021/22,"czwartek, 21 października 2021",10-21),Olsztyn,Podbeskidzie Bielsko-Biała,Stomil Olsztyn,4-2,"Kamil Biliński 4, 9, Giorgi Merebaszwili 23, Jakub Bieroński 66",I liga,815
878,14,2021/22,"niedziela, 24 października 2021",10-24),Sosnowiec,Podbeskidzie Bielsko-Biała,Zagłębie Sosnowiec,2-2,"Kamil Biliński 39, Goku 87",I liga,1 136
879,15,2021/22,"niedziela, 31 października 2021",10-31),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Chrobry Głogów,2-1,"Goku 45, Kamil Biliński 90",I liga,2 983
880,16,2021/22,"piątek, 5 listopada 2021",11-05),Gdynia,Podbeskidzie Bielsko-Biała,Arka Gdynia,0-1,,I liga,3 407
881,17,2021/22,"sobota, 13 listopada 2021",11-13),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Widzew Łódź,4-0,"Kamil Biliński 49, 53, 90, Dawid Polkowski 86",I liga,5 030
882,18,2021/22,"sobota, 20 listopada 2021",11-20),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Górnik Polkowice,4-0,"Mathieu Scalet 8, 56, Kamil Biliński 76, Titas Milašius 79",I liga,2 345
883,19,2021/22,"piątek, 26 listopada 2021",11-26),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Odra Opole,1-1,Goku 30,I liga,1 815
884,20,2021/22,"sobota, 4 grudnia 2021",12-04),Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Katowice,1-2,Kamil Biliński 19,I liga,3 720
885,21,2021/22,"niedziela, 27 lutego 2022",02-27),Tychy,Podbeskidzie Bielsko-Biała,GKS Tychy,0-0,,I liga,3 184
886,22,2021/22,"poniedziałek, 7 marca 2022",03-07),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Skra Częstochowa ,1-1,Kamil Biliński 79,I liga,1 560
887,23,2021/22,"niedziela, 13 marca 2022",03-13),Niepołomice,Podbeskidzie Bielsko-Biała,Puszcza Niepołomice ,2-4,"Julio Rodríguez 41, Giorgi Merebaszwili 50",I liga,908
888,24,2021/22,"niedziela, 20 marca 2022",03-20),Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Jastrzębie,0-0,,I liga,3 025
889,26,2021/22,"piątek, 1 kwietnia 2022",04-01),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Łódzki KS,1-1,Kamil Biliński 62,I liga,1 650
890,25,2021/22,"wtorek, 5 kwietnia 2022",04-05),Kielce,Podbeskidzie Bielsko-Biała,Korona Kielce,1-2,Yiğit Emre Çeltik 51,I liga,2 655
891,27,2021/22,"piątek, 8 kwietnia 2022",04-08),Rzeszów,Podbeskidzie Bielsko-Biała,Resovia,1-1,Marcel Misztal 50,I liga,1 207
892,28,2021/22,"czwartek, 14 kwietnia 2022",04-14),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Miedź Legnica,1-1,Kamil Biliński 90,I liga,2 625
893,29,2021/22,"niedziela, 24 kwietnia 2022",04-24),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Stomil Olsztyn,0-1,,I liga,2 187
894,30,2021/22,"czwartek, 28 kwietnia 2022",04-28),Nowy Sącz,Podbeskidzie Bielsko-Biała,Sandecja Nowy Sącz,1-0,Giorgi Merebaszwili 45,I liga,bez udziału publiczności
895,31,2021/22,"niedziela, 1 maja 2022",05-01),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Zagłębie Sosnowiec,0-2,,I liga,3 764
896,32,2021/22,"niedziela, 8 maja 2022",05-08),Głogów,Podbeskidzie Bielsko-Biała,Chrobry Głogów,3-1,"Kamil Biliński 7, 40, Goku 84",I liga,803
897,33,2021/22,"piątek, 13 maja 2022",05-13),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Arka Gdynia,1-1,Goku 66,I liga,3 570
898,34,2021/22,"niedziela, 22 maja 2022",05-22),Łódź,Podbeskidzie Bielsko-Biała,Widzew Łódź,1-2,Mathieu Scalet 47,I liga,17 336
899,1,2022/23,"niedziela, 17 lipca 2022",07-17),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Arka Gdynia,0-1,,I liga,3 897
900,2,2022/23,"poniedziałek, 25 lipca 2022",07-25),Opole,Podbeskidzie Bielsko-Biała,Odra Opole,2-1,"Julio Rodríguez 87, Kamil Biliński 88",I liga,1 515
901,3,2022/23,"niedziela, 31 lipca 2022",07-31),Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Katowice,1-0,Goku 62,I liga,5 014
902,4,2022/23,"niedziela, 7 sierpnia 2022",08-07),Tychy,Podbeskidzie Bielsko-Biała,GKS Tychy,4-1,"Bartosz Bernard 12, Tomasz Jodłowiec 52, Kamil Bliński 68, Maksymilian Sitek 90",I liga,3 826
903,5,2022/23,"środa, 10 sierpnia 2022",08-10),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Skra Częstochowa ,0-1,,I liga,3 815
904,6,2022/23,"niedziela, 14 sierpnia 2022",08-14),Głogów,Podbeskidzie Bielsko-Biała,Chrobry Głogów,1-0,Kamil Biliński 76,I liga,808
905,7,2022/23,"sobota, 20 sierpnia 2022",08-20),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Puszcza Niepołomice ,0-1,,I liga,3 088
906,8,2022/23,"sobota, 27 sierpnia 2022",08-27),Rzeszów,Podbeskidzie Bielsko-Biała,Stal Rzeszów,0-5,,I liga,2 362
907,I runda,2022/23,"wtorek, 30 sierpnia 2022",08-30),Zielona Góra,Podbeskidzie Bielsko-Biała,Lechia Zielona Góra,1-2 pd.,Lionel Abate 78,Puchar Polski,937
908,9,2022/23,"niedziela, 4 września 2022",09-04),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Ruch Chorzów,0-1,,I liga,3 395
909,10,2022/23,"niedziela, 11 września 2022",09-11),Chojnice,Podbeskidzie Bielsko-Biała,Chojniczanka Chojnice,3-2,"Kamil Biliński 6, 54, Jeppe Simonsen 90",I liga,1 208
910,11,2022/23,"niedziela, 18 września 2022",09-18),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Łódzki KS,1-1,Goku 77,I liga,2 898
911,12,2022/23,"niedziela, 2 października 2022",10-02),Nieciecza,Podbeskidzie Bielsko-Biała,Bruk-Bet Termalica Nieciecza,2-2,"Yiğit Emre Çeltik 32, Kamil Biliński 43",I liga,1 524
912,13,2022/23,"sobota, 8 października 2022",10-08),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Górnik Łęczna,1-0,Kamil Biliński 30,I liga,2 365
913,14,2022/23,"sobota, 15 października 2022",10-15),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Zagłębie Sosnowiec,2-2,"Kamil Biliński 14, 60",I liga,3 699
914,15,2022/23,"sobota, 22 października 2022",10-22),Kraków,Podbeskidzie Bielsko-Biała,Wisła Kraków,3-3,"Kamil Biliński 13, Goku 70, Krzysztof Drzazga 90",I liga,11 711
915,16,2022/23,"sobota, 29 października 2022",10-29),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Sandecja Nowy Sącz,2-0,"Goku 62, Jakub Bieroński 75",I liga,4 830
916,17,2022/23,"sobota, 5 listopada 2022",11-05),Rzeszów,Podbeskidzie Bielsko-Biała,Resovia,2-2,"Goku 51, Kamil Biliński 60",I liga,642
917,18,2022/23,"sobota, 12 listopada 2022",11-12),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Arka Gdynia,2-2,"Goku 50, Kamil Biliński 80",I liga,3 598
918,19,2022/23,"niedziela, 12 lutego 2023",02-12),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Odra Opole,0-0,,I liga,2 914
919,20,2022/23,"niedziela, 19 lutego 2023",02-19),Katowice,Podbeskidzie Bielsko-Biała,GKS Katowice,1-1,Kamil Biliński 56,I liga,3 057
920,21,2022/23,"sobota, 25 lutego 2023",02-25),Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Tychy,1-0,Jeppe Simonsen 90,I liga,2 734
921,22,2022/23,"niedziela, 5 marca 2023",03-05),Bełchatów,Podbeskidzie Bielsko-Biała,Skra Częstochowa ,0-1,,I liga,43
922,23,2022/23,"piątek, 10 marca 2023",03-10),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Chrobry Głogów,6-0,"Goku 24, 58, 65, Marcel Misztal 32, Kamil Biliński 41, Ezequiel Bonifacio 89",I liga,2 476
923,24,2022/23,"sobota, 18 marca 2023",03-18),Niepołomice,Podbeskidzie Bielsko-Biała,Puszcza Niepołomice ,1-1,Goku 89,I liga,1 139
924,25,2022/23,"niedziela, 2 kwietnia 2023",04-02),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Stal Rzeszów,2-2,"Marcel Misztal 59, Goku 69",I liga,2 672
925,26,2022/23,"czwartek, 6 kwietnia 2023",04-06),Gliwice,Podbeskidzie Bielsko-Biała,Ruch Chorzów,2-2,"Tomasz Neugebauer 71, Goku 88",I liga,8 612
926,27,2022/23,"niedziela, 16 kwietnia 2023",04-16),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Chojniczanka Chojnice,4-1,"Kamil Biliński 16, Florian Hartherz 30, Jeppe Simonsen 43, Michał Janota 43",I liga,3 247
927,28,2022/23,"piątek, 21 kwietnia 2023",04-21),Łódź,Podbeskidzie Bielsko-Biała,Łódzki KS,1-2,Goku 53,I liga,9 391
928,29,2022/23,"niedziela, 30 kwietnia 2023",04-30),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Bruk-Bet Termalica Nieciecza,2-2,"Goku 19, Jeppe Simonsen 49",I liga,4 178
929,30,2022/23,"sobota, 6 maja 2023",05-06),Łęczna,Podbeskidzie Bielsko-Biała,Górnik Łęczna,3-3,"Daniel Mikołajewski 5, Goku 39, Maksymilian Sitek 52",I liga,1 074
930,31,2022/23,"poniedziałek, 15 maja 2023",05-15),Sosnowiec,Podbeskidzie Bielsko-Biała,Zagłębie Sosnowiec,0-1,,I liga,5 067
931,32,2022/23,"sobota, 20 maja 2023",05-20),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Wisła Kraków,0-3,,I liga,13 800
932,33,2022/23,"piątek, 26 maja 2023",05-26),Niepołomice,Podbeskidzie Bielsko-Biała,Sandecja Nowy Sącz,3-0,"Sylwester Lusiusz 20 (s), Krzysztof Drzazga 90, Goku 90",I liga,146
933,34,2022/23,"sobota, 3 czerwca 2023",06-03),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Resovia,4-3,"Tomasz Neugebauer 29, Maksymilian Sitek 49, Krzysztof Drzazga 52, Kamil Biliński 74",I liga,3 214
934,1,2023/24,"niedziela, 23 lipca 2023",07-23),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Wisła Płock,1-1,Bartosz Bida 18,I liga,4 012
935,2,2023/24,"sobota, 29 lipca 2023",07-29),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Znicz Pruszków,1-1,Marcel Misztal 31,I liga,3 116
936,3,2023/24,"poniedziałek, 7 sierpnia 2023",08-07),Rzeszów,Podbeskidzie Bielsko-Biała,Resovia,1-1,Lionel Abate 80,I liga,1 319
937,4,2023/24,"sobota, 12 sierpnia 2023",08-12),Opole,Podbeskidzie Bielsko-Biała,Odra Opole,0-1,,I liga,1 873
938,5,2023/24,"piątek, 18 sierpnia 2023",08-18),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Zagłębie Sosnowiec,2-1,"Maksymilian Sitek 5, Daniel Mikołajewski 61",I liga,4 007
939,6,2023/24,"piątek, 25 sierpnia 2023",08-25),Gdańsk,Podbeskidzie Bielsko-Biała,Lechia Gdańsk,0-3,,I liga,7 136
940,7,2023/24,"niedziela, 3 września 2023",09-03),Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Katowice,1-1,Mateusz Ziółkowski 68,I liga,8 573
941,8,2023/24,"niedziela, 17 września 2023",09-17),Nieciecza,Podbeskidzie Bielsko-Biała,Bruk-Bet Termalica Nieciecza,2-2,"Bartosz Bida 16, Mateusz Ziółkowski 45",I liga,1 896
942,9,2023/24,"piątek, 22 września 2023",09-22),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Górnik Łęczna,1-1,Michał Janota 43,I liga,3 011
943,I runda,2023/24,"wtorek, 26 września 2023",09-26),Siedlce,Podbeskidzie Bielsko-Biała,Pogoń Siedlce,3-1,"Martin Chlumecký 21, Jan Hlavica 63, Bartosz Bida 90",Puchar Polski,511
944,10,2023/24,"piątek, 29 września 2023",09-29),Warszawa,Podbeskidzie Bielsko-Biała,Polonia Warszawa,0-2,,I liga,1 573
945,11,2023/24,"sobota, 7 października 2023",10-07),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Stal Rzeszów,0-1,,I liga,3 005
946,12,2023/24,"sobota, 21 października 2023",10-21),Tychy,Podbeskidzie Bielsko-Biała,GKS Tychy,0-3,,I liga,4 017
947,13,2023/24,"piątek, 27 października 2023",10-27),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Wisła Kraków,2-1,"Maksymilian Banaszewski 23, Bartosz Bida 45",I liga,5 079
948,14,2023/24,"sobota, 4 listopada 2023",11-04),Gdynia,Podbeskidzie Bielsko-Biała,Arka Gdynia,0-1,,I liga,668
949,1/16 runda,2023/24,"wtorek, 7 listopada 2023",11-07),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Pogoń Szczecin,0-1,,Puchar Polski,3 167
950,15,2023/24,"niedziela, 12 listopada 2023",11-12),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Miedź Legnica,0-0,,I liga,3 011
951,16,2023/24,"piątek, 24 listopada 2023",11-24),Głogów,Podbeskidzie Bielsko-Biała,Chrobry Głogów,0-3,,I liga,458
952,18,2023/24,"sobota, 9 grudnia 2023",12-09),Płock,Podbeskidzie Bielsko-Biała,Wisła Płock,1-2,Lionel Abate 58,I liga,2 349
953,19,2023/24,"niedziela, 17 grudnia 2023",12-17),Pruszków,Podbeskidzie Bielsko-Biała,Znicz Pruszków,1-0,Daniel Mikołajewski 90,I liga,249
954,20,2023/24,"sobota, 17 lutego 2024",02-17),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Resovia,2-2,"Lionel Abate 7, Maksymilian Sitek 73",I liga,3 206
955,21,2023/24,"sobota, 24 lutego 2024",02-24),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Odra Opole,1-2,Jakub Kisiel 69,I liga,2 878
956,17,2023/24,"środa, 28 lutego 2024",02-28),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Motor Lublin,1-2,Daniel Mikołajewski 45,I liga,2 409
957,22,2023/24,"niedziela, 3 marca 2024",03-03),Sosnowiec,Podbeskidzie Bielsko-Biała,Zagłębie Sosnowiec,0-0,,I liga,4 918
958,23,2023/24,"niedziela, 10 marca 2024",03-10),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Lechia Gdańsk,1-2,Bartosz Bida 14,I liga,3 004
959,24,2023/24,"niedziela, 17 marca 2024",03-17),Katowice,Podbeskidzie Bielsko-Biała,GKS Katowice,0-5,,I liga,4 556
960,25,2023/24,"sobota, 30 marca 2024",03-30),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Bruk-Bet Termalica Nieciecza,2-1,"Bartosz Bida 72, Daniel Mikołajewski 90",I liga,2 017
961,26,2023/24,"piątek, 5 kwietnia 2024",04-05),Łęczna,Podbeskidzie Bielsko-Biała,Górnik Łęczna,0-2,,I liga,1 350
962,27,2023/24,"niedziela, 14 kwietnia 2024",04-14),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Polonia Warszawa,1-2,Matej Senić 49,I liga,4 007
963,28,2023/24,"piątek, 19 kwietnia 2024",04-19),Rzeszów,Podbeskidzie Bielsko-Biała,Stal Rzeszów,2-2,"Daniel Mikołajewski 56, Bartosz Bida 68",I liga,2 678
964,29,2023/24,"wtorek, 23 kwietnia 2024",04-23),Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Tychy,0-2,,I liga,2 011
965,30,2023/24,"piątek, 26 kwietnia 2024",04-26),Kraków,Podbeskidzie Bielsko-Biała,Wisła Kraków,1-3,Miroslav Iličić 26,I liga,14 762
966,31,2023/24,"piątek, 3 maja 2024",05-03),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Arka Gdynia,0-0,,I liga,2 423
967,32,2023/24,"poniedziałek, 13 maja 2024",05-13),Legnica,Podbeskidzie Bielsko-Biała,Miedź Legnica,1-6,Marcel Misztal 14,I liga,2 889
968,33,2023/24,"poniedziałek, 20 maja 2024",05-20),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Chrobry Głogów,0-1,,I liga,2 274
969,34,2023/24,"niedziela, 26 maja 2024",05-26),Lublin,Podbeskidzie Bielsko-Biała,Motor Lublin,1-2,Miroslav Iličić 49,I liga,9 867
970,1,2024/25,"niedziela, 21 lipca 2024",07-21),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Olimpia Elbląg,0-0,,II liga,2 503
